,Date,Dead,Injured,Location,Details
0,January 1,21,40,"Kosheh, Sohag Governorate, Egypt",Kosheh massacres: Coptic Christians killed by Muslims during 2 days of religiously motivated riots.
1,January 2,2,3,"Colombo, Sri Lanka","Bomb explodes in auto/rickshaw killing 2, wounding 3. LTTE blamed.[1]"
2,January 3,20,0,"Srinagar, India",A bomb exploded in a market in the city of Srinagar killing twenty people.[2]
3,January 5,7,30,"Colombo, Sri Lanka",A woman suicide bomber detonated a bomb outside of the Sri Lankan prime minister's residence killing herself and six security personnel. According to police such suicide bombings are the hallmark of the Liberation Tigers of Tamil Eelam (LTTE).[1]
4,January 6,0,22,"Old Delhi, India",At least twenty-two persons were injured when a bomb exploded in the coach of a train at the Old Delhi station. Authorities detained two people they believe may be connected to the incident.[1]
5,January 7,21,60,"Ratmalana, Sri Lanka","A senior cabinet minister, C.V. Gooneratne was killed when a Liberation Tigers of Tamil Eelam (LTTE) suicide bomber detonated a bomb in Ratmalana. The bomb exploded during a march to commemorate war Heroes Day. The blast killed over twenty people and injured about sixty others.[1]"
6,January 10,1,2,"El Omaria, Algeria","A worker for Algeria's national utility company (Sonelgaz) was killed when a bomb exploded in Tafal. A further two workers were injured in the attack, which followed closely on an earlier sabotage of electric power lines in nearby El Omaria. The workers were sent to the region to address this prior incident, which had cut power for two days previous.[1]"
7,January 16,9,13,"Vavuniya, Sri Lanka","LTTE blamed for land mine blast killing 9 soldiers, wounding 13: killing civilian, near Vavuniya.[1]"
8,January 16,16,Unknown,"Yarumal, Antioquia Department, Colombia","In Yarumal, Antioquia, members of the AUC murder 16 campesinos.[3]"
9,January 17,0,20,"Hadera, Israel","Pipe bomb explodes, wounding 20; Palestinian militants blamed.[1]"
10,January 17,8,14,"Karachi, Pakistan","A powerful explosive device detonated in front of a sugarcane juice shop in Karachi. At least eight people were killed in the blast and 14 injured. Al-Nawaz claimed responsibility for the blast. In their statement of claim, the group writes, ""we will continue spreading the intense fear as a protest against the hijacking of our favorite leader Mohammad Nawaz Sharif's elected government.""[1]"
