,Dates,Type,Dead,Injured,Location,Details,Perpetrator,Part of
0,January 1,Suicide car bombing,0 (+1),50,"Netanya, Israel","A Hamas suicide car bomber detonates in the city of Netanya, wounding 50.[1]",Hamas,Second Intifada
1,January  10,Car bombing,0,50+,"Medellín, Colombia",A car bomb wounds at least 50 in a shopping center parking lot in Medellín.[2],FARC,Colombian conflict
2,February 9,Massacre,15,,"Rajouri district, India",2001 Chalwalkote massacre: A group of Muslim militants massacred 15 Muslim villagers in Rajouri district.,Kashmiri Islamic Terrorists [3],Insurgency in Jammu and Kashmir
3,February 14,Vehicular Assault,8 (+1),26,"Near Azor, Israel","2001 Azor attack: A Hamas terrorist plowed a bus into a crowd, killing 8 and wounding 26.[1]",Hamas,Second Intifada
4,February 16,Bus bombing,12,43,"Podujevo, Federal Republic of Yugoslavia","Podujevo bus bombing: A bus carrying Kosovo Serb pilgrims was bombed, killing 12. Kosovo Albanian extremists were suspected of being behind the attack.",Kosovo Albanian extremists (suspected),Aftermath of the Yugoslav Wars
5,March 4,Suicide bombing,3 (+1),65,"Netanya, Israel","2001 Netanya bombing: A Hamas suicide bomber detonated in the city of Netanya, killing 3 and wounding 65.[1]",Hamas,Second Intifada
6,March 4,Car bombing,0,1,"White City, London, England, United Kingdom",2001 BBC bombing: The Real IRA exploded a car bomb outside the BBC's main news centre in London. One London Underground worker suffered deep cuts to his eye from flying glass and some damage was caused to the front of the building.[4],Real IRA,Dissident Irish Republican campaign
7,March 26,Sniper attack,1,1,"Hebron, West bank",A 10-month-old Israeli baby named Shalhevet Pass is murdered in a sniper attack by Tanzim militant Mahmud Amru. Shalhevet's father was also wounded.,Tanzim,Second Intifada
8,March 27,Suicide bombing,0 (+1),30,"French Hill, Jerusalem, West Bank","A suicide bomber blows himself up next to a bus in Jerusalem's French Hill area, injuring 30 Israelis.[5]",Hamas,Second Intifada
9,March 28,Suicide bombing,2 (+1),,"Kfar Saba, Israel","A suicide bomber detonated near a gas station outside Kfar Saba, killing two Israeli teenagers on their way to school.[5]",Hamas,Second Intifada
10,March 28,Suicide bombing,0 (+1),4,Israel,"A suicide bomber, from the Arab Hamas organization, blew himself up amidst a gathering of students waiting at a bus stop, four teenagers were wounded, one of them in critical condition.[5]",Hamas,Second Intifada
11,April 14,Bombings,10,≈50,"Dhaka, Bangladesh",Two bombs explode at a Pohela Boishakh parade.,Harkat-ul-Jihad al-Islami,Internal conflict in Bangladesh
12,April 28,Massacre,15,,"Vejce, Macedonia",15 Macedonian special forces members are massacred by UÇK militants,UÇK,2001 insurgency in Macedonia
13,April 29,Suicide Bombing,0 (+1),0,"Nablus, Palestinian Territories","A suicide car bomber attempted to target a school bus near Nablus, but detonated prematurely.[6]",Hamas,Second Intifada
14,April 4,Car Bomb,4,32,Colombia,A car bomb kills four and injures 32 in a luxury hotel in Cali. No group claims the attack.[7],Unknown,Colombian conflict
15,April 6,Bombing,0,1,United Kingdom,The Real IRA detonate a bomb in a London postal sorting office. One person was injured.[8],Real IRA,Dissident Irish Republican campaign
16,April 8,Kidnapping and murder,2,0,"Tekoa, West Bank",Two Israeli teenagers are kidnapped and murdered from the Israeli West Bank settlement Tekoa. The killers are never found.,Unknown,Second Intifada
17,April 17,car bomb,20,50,Colombia,A car bomb kills 20 and injures at least 50 in a park in Medellín.[9],FARC,Colombian conflict
18,April 18,Suicide Bombing,5 (+1),100+,"Netanya, Israel","An Arab suicide bomber from the Hamas blew himself up at the entrance of a shopping mall in the city of Netanya, near Tel Aviv, 5 people were killed in the blast and over 100 men, women and children were injured.",Hamas,Second Intifada
19,April 24,Bombing,4,,Colombia,Two bombs kill four near the Universidad Nacional campus in Bogotá. One more bomb is defused before it could explode. Right-wing paramilitaries are suspected.[10],Unknown,Colombian conflict
20,April 25,Suicide car bombing,0 (+2),65,Israel,"Two suicide car bombers targeted a bus station in Hadera, injuring 65.[6]",Hamas,Second Intifada
21,April 25,Suicide Bombing,0 (+2),12,Israel,"Two separate bombs detonate at Netzarim Junction, wounding 12.[11]",Hamas,Second Intifada
22,June 1,Suicide bombing,21 (+1),100+,"Tel Aviv, Israel","A Palestinian named Saeed Hotari blew himself up while waiting in line to enter the Dolphinarium nightclub in Tel Aviv, killing 21 people, mostly teenage girls. Both Islamic Jihad and Hamas claimed responsibility.",Hamas  Islamic Jihad,Israeli–Palestinian conflict
23,June 15,Kidnapping,0,15 Kidnapped,"Tavildara, Tajikistan","Fifteen people associated with AgoAction, a German agricultural humanitarian organization, were kidnapped by gunmen in the Tavil Dara region of Tajikistan. One of the workers was American, one was German, and the rest were from Tajikistan. Four people, including three women, were immediately released, while the remaining eleven were released two days later. All of the hostages were unharmed. The gunmen used to be rebels and were currently working for the Ministry of Emergency Situations. The gunmen demanded the release of four individuals who had been arrested for an assassination that took place several months earlier.[12]",Unknown,
24,June 17,Car bomb,0,16,"San Martín, Meta, Colombia","A car bomb injures 16. No group claims responsibility, but both FARC and AUC are suspected.[13]",Unknown,Colombian conflict
25,June 22,Suicide bombing,2 (+1),,"Dugit, Gaza Strip",A suicide bomber kills 2.[1],Hamas,Israeli–Palestinian conflict
26,July 9,Suicide car bombing,0 (+1),,Israel,"An Arab suicide car bomber detonated near the Kissufim crossing point in the southern Gaza Strip, causing no other casualties.[14]",Hamas,Israeli–Palestinian conflict
