,Date,Type,Deaths,Injuries,Location,Details,Perpetrator(s),Part of
0,January,Attack attempt,0,0,Singapore,Singapore embassies attack plot foiled.,Jemaah Islamiyah,
1,January 05,Suicide hijacking,1,0,"Tampa, Florida, United States","2002 Tampa airplane crash: A 15-year-old student, Charles Bishop, hijacked a Cessna 172 aircraft and flew it into the side of the Bank of America Plaza in downtown Tampa, Florida. Only the perpetrator was killed, and there were no injuries.",Charles Bishop,
2,January 17,Shooting,6 (+1),33,"Hadera, Israel",Bat Mitzvah massacre: A Palestinian gunman opened fire on a Bat Mitzvah celebration in Hadera,Al-Aqsa Martyrs' Brigades,Second Intifada
3,January 22,Shooting,5,20,"Kolkata, India","2002 attack on American cultural centre in Kolkata: Gunmen on motorcycles opened fire on guards at the American Center in Kolkata, killing five people.",HuJI,
4,January 23,Murder,1,0,"Karachi, Pakistan",Kidnapping and murder of journalist Daniel Pearl by Pakistani terrorists.,Al-Qaeda (suspected),
5,January 25,Bombing,5,28,"Bogotá, Colombia",A bomb kills a child and four police officers and injures 28 people in Bogotá. Rebel group FARC is blamed.,FARC,Colombian conflict
6,January 25,Suicide bombing,0 (+1),25,"Tel Aviv, Israel",2002 Tel Aviv outdoor mall bombing: 25 people were wounded when a Palestinian suicide bomber detonated explosives outside a cafe on a pedestrian mall near Tel Aviv's old central bus station.[1],Islamic Jihad,Second Intifada
7,January 27,Suicide bombing,1 (+1),140,"Jerusalem, Israel","Jaffa Street bombing: A female Palestinian suicide bomber blew herself up in Jerusalem, killing 2 and injuring 140. The female terrorist, identified as a Fatah member, was armed with more than 10 kilos of explosives.[2]",Fatah,Second Intifada
8,January 30,Suicide bombing,0 (+1),2,Israel,A Palestinian suicide bomber wounds two members of Shin Bet security service near Taibeh.[3],Fatah,Second Intifada
9,January 30,Car bomb,5,40,"Florencia, Colombia","A car bomb killed five and injured 40 in Florencia, Caquetá in the Department of Caquetá.",FARC,Colombian conflict
10,February 16,Suicide bombing,3 (+1),27,Karnei Shomron,"Karnei Shomron Mall suicide bombing: Two teenagers were killed and about 30 people were wounded, six seriously, when a suicide bomber blew himself up at a pizzeria in the shopping mall in Karnei Shomron. A third person subsequently died of his injuries. The Popular Front for the Liberation of Palestine claimed responsibility for the attack.",Popular Front for the Liberation of Palestine,Second Intifada
11,February 18,Suicide Bombing,1 (+1),0,Israel,An Israeli Bedouin policeman was killed by a suicide bomber whom he had stopped for questioning on the Ma'ale Adumim–Jerusalem road. The terrorist succeeded in detonating the bomb in his car. The Fatah al-Aqsa Martyrs Brigades claimed responsibility for the attack.,Fatah  al-Aqsa Martyrs Brigades,Second Intifada
12,February 27,Suicide bombing,0 (+1),3,Israel,"A female Palestinian suicide bomber blew herself up at a roadblock on the Jerusalem–Modi'in highway, injuring three policemen.",Palestinian,Second Intifada
