,Date,Dead,Injured,Location,Details,Perpetrator,Part of
0,January 5,23 (+2),100+,Israel,"Tel Aviv Central Bus Station massacre: Two Palestinian suicide bombers from the Islamic Jihad detonated about 2 minutes apart, the explosions ripped through a crowded neighborhood near the old Tel Aviv bus station.[1]",Al-Aqsa Martyrs' Brigades,Second Intifada
1,January 27,1,28,India,2003 Mumbai bombing: An unknown person placed a bomb on a bicycle near a busy Mumbai train station.,Unknown,
2,February 7,36,200+,Colombia,2003 El Nogal Club bombing: A car bomb blew up in the parking garage of an elite club in Bogotá.,FARC,Colombian conflict
3,February 25,,3,Venezuela,2003 Caracas attacks [es]: Double bombing of the Spanish embassy and the Colombian consulate in Caracas.[2],Bolivarian Forces of Liberation,
4,March 5,17 (+1),53,Israel,Haifa bus 37 suicide bombing: A Hamas bomber detonates on an Egged bus in Haifa.,Hamas,Second Intifada
5,March 5,6,68,Colombia,A car bomb kills six and injures 68 in a covered parking lot in Cúcuta. Rebel group ELN is blamed for the attack.[3],ELN,Colombian conflict
6,March 13,10,70,India,2003 Mumbai train bombing: A bomb exploded on a train as it pulled into Mulund railway station in Mumbai.,Unknown,
7,March 23,24,,India,2003 Nadimarg massacre: 24 Hindus villagers are massacred by Lashkar-e-Taiba militants.,Lashkar-e-Taiba,Insurgency in Jammu and Kashmir
8,March 30,0 (+1),40,Israel,"In the first suicide bombing since the start of the Iraq war, a Palestinian suicide bomber detonated himself outside a crowded cafe in the Mediterranean coastal city of Netanya, wounding nearly 40 people, two of them critically.[1]",Palestinian,Second Intifada
9,April 10,0,20,Israel,"An Israeli settler detonated a bomb in the playground of a Palestinian school, injuring 20 children.[4]",Sionist,Second Intifada
10,April 24,1 (+1),13,Israel,"A Palestinian suicide bomber attempted to enter a train station in the Israeli city of Kfar Saba. He was stopped by a security guard, at which point he detonated his explosives, killing the security guard and wounding 13 others.[5]","Al-Aqsa Martyrs' Brigades, PFLP",Second Intifada
11,April 26,0,11,Indonesia,"A bomb detonated inside of a Kentucky Fried Chicken restaurant in the Soekarno–Hatta International Airport, injuring 11 people.[6]",Jemaah Islamiyah (suspected),
12,April 30,3 (+1),50,Israel,"Mike's Place suicide bombing: A Muslim British citizen suicide bomber blew himself up at ""Mike's Place"", a restaurant in Tel Aviv.[1]",Hamas,Second Intifada
13,May 12,14 (+2),43,Russia,"Two female suicide bombers attacked Chechen Administrator Mufti Akhmed Kadyrov during a religious festival in Iliskhan Yurt. Kadyrov escaped injury, but 14 people were killed and 43 were wounded. Chechen rebel leader Shamil Basayev claimed responsibility.[7]",Riyad-us Saliheen,Second Chechen war
14,May 12,59 (+3),200+,Russia,2003 Znamenskoye suicide bombing: Three suicide bombers rammed a truck into a government building housing the regional headquarters of the Federal Security Service,Riyad-us Saliheen,Second Chechen war
15,May 12,39,160+,Saudi Arabia,Riyadh compound bombings: Three teams of suicide attackers opened fire on and blew themselves up at residential compounds mostly housing westerners.,Al Qaeda in the Arabian Peninsula,
16,May 16,33 (+12),100+,Morocco,"2003 Casablanca bombings: A number of suicide bombers target restaurants, a hotel, the Belgian consulate and Jewish centers in Casablanca",Salafia Jihadia,Insurgency in the Maghreb
17,May 17,2 (+1),0,Israel,A suicide bomber detonated himself next to a pregnant Israeli woman and her husband at a public square in Hebron. Hamas claimed responsibility.[8],Hamas,Second Intifada
18,May 18,7 (+2),20,Israel,"2003 French Hill suicide bombings: A suicide bomber disguised as a religious Jew detonated on a bus in Jerusalem. A second bomber prematurely detonated, only killing himself.[1]",Hamas,Second Intifada
19,May 19,0 (+1),3,Israel,A suicide bomber on a bicycle attacked an Israeli checkpoint on the Gaza Strip. Hamas claimed responsibility.[8],Hamas,Second Intifada
20,May 19,3 (+1),70,Israel,"Afula mall bombing: In the fifth suicide bombing in two days, a female Palestinian student suicide bomber detonated at the main entrance to the Shaarei Amakim mall in Afula.[1]",Islamic Jihad,Second Intifada
21,June 9,5 (+1),10,Afghanistan,"A suicide bomber in a taxi cab filled with explosives slams into a bus carrying German ISAF troops, killing four soldiers and one Afghan national.[9]",Taliban,War in Afghanistan
22,June 11,17 (+1),100,Israel,"Davidka Square bus bombing: A Hamas Palestinian suicide bomber, dressed as an ultra-Orthodox Jew, detonated his explosives belt on a bus in downtown Jerusalem.[1]",Hamas,Second Intifada
23,June 19,1 (+1),0,Israel,"A Palestinian suicide bomber detonated a bag of explosives in a grocery store located in Moshav Sde Trumot, Israel. Avner Mordechai, 63, the owner of the store, was critically injured in the blast, and later died of his injuries.[1]",Palestinian,Second Intifada
24,June 20,1,3,Israel,"2003 Route 60 Hamas ambush: Hamas gunmen ambush an open fire on a car driving along Route, killing the driver and wounding the three passengers.",Hamas,Second Intifada
25,July 4,44 (+1),65+,Pakistan,2003 Quetta mosque bombing: Three men entered a Shia mosque frequented by Hazara people and started shooting. One of the attackers blew himself up.,Lashkar-e-Jhangvi,Balochistan conflict
