,Date,Dead,Injured,Location,Description,Perpetrators,Part of
0,January 1,10,30,"Near Peureulak, Indonesia","Ten people were killed and at least thirty others injured when an explosive device detonated at a music concert in Peureulak, in Aceh Province. The blast caused major damage to the stage. Authorities are blaming Aceh separatists, namely the Free Aceh Movement (GAM), but the group denies responsibility, stating that they never target civilians. Most of the dead and injured were Indonesian teenagers.[1]",Free Aceh Movement (suspected),
1,January 1,8,35,"Baghdad, Iraq","A car bomb tore through a popular restaurant filled with New Year's Eve revelers, killing eight people and wounding 35. The target of the blast, the Nabil Restaurant, used to be a popular hangout of Baath Party officials but recently has been used by expatriates and upper middle-class Iraqis.[1]",Islamist insurgents,Iraq War
2,January 4,14,87,"Mindanao Island, Philippines","A homemade explosive device, attached to a motorcycle, detonated in Parang, on Mindanao Island, killing fourteen people and injuring at least eighty-seven others—including the target, the city's mayor. Authorities believe the attack was an attempt to assassinate the Christian town mayor, Vivencio Bataga, who was giving a speech at a gymnasium in the town. This was the fourth attempt on Bataga's life in the previous year.[1]",MILF (suspected),Moro Conflict
3,January 6,12,35,"Kandahar, Afghanistan",At least twelve people were killed and over thirty-five injured in a suspected car bombing attack in Kandahar. The victims included women and children.[1],Taliban,War in Afghanistan
4,January 10,4,3,"Palopo, Indonesia","2004 Palopo cafe bombing: An explosive device detonated in a karaoke bar in Palopo, on the island of Sulawesi, killing four people and injuring three others. Authorities believe that the bomb was left under a table and the perpetrator was not among the victims.[1]",Laskar Jihad,
5,January 12,0,0,"Bologna, Italy","Romano Prodi  the head of the European Executive received at his home in Bologna an envelope with used cartridges and several firecrackers inside. The shipment, which was not ready to explode, contained a photograph of Prodi cut out of a newspaper and a vindication document that defended a ""popular insurrection against capitalism"". Days later an anarchist militant were arrested, and this was the second attack against Romano Prodi in recent weeks.[2][3]",Anónima Sarda Anárquico Insurreccionalista,Terrorism in Italy
6,January 13,1,1,"Talmon, West Bank","One Israeli was killed and another lightly wounded by armed assailants near the Jewish settlement of Talmon near Ramallah. The attacker fled after opening fire. The al-Aqsa Martyr Brigades, a wing of al-Fatah, claimed responsibility for the attack.[1]",Al-Aqsa Martyrs' Brigades,Second Intifada
7,January 14,4,14,"Baqubah, Iraq",A car bomb exploded at a Baqubah police station killing a suicide bomber and three Iraqi officials. Approximately fifteen people were injured.[1],Islamist insurgents,Iraq War
8,January 14,4 (+1),12,"Gaza, Israel","2004 Erez Crossing bombing: A violent suicide bomber blew herself up at one of the entrances to Gaza's main Erez crossing terminal to Israel, killing three Israeli soldiers and a civilian and wounding twelve others. Hamas and the Al-Aqsa Martyrs Brigade (Fatah) jointly claimed responsibility. Hamas stated it used a woman suicide bomber for the first time in order to counter Israeli precautions.[1]",Hamas,Second Intifada
9,January 15,1,0,"Puerto Guzman, Colombia","Luis Alberto Campos, a municipal councilor in Puerto Guzman, was murdered. Campos was dragged from his house and killed by a group who claimed to be from the 32nd Revolutionary Armed Forces of Colombia (FARC) front. This is the first politician elected at the local level to be murdered this year.[1]",FARC,Colombian Conflict
10,January 15,4,10,"Erez, Israel","A female Palestinian suicide bomber detonated at the Erez crossing between Israel and the Gaza Strip, killing two Israeli soldiers, a border policeman, and a security guard for a private manpower company.[4]",Hamas,Second Intifada
11,January 16,3,5,"Dharan, Nepal","Three people were killed and five injured when rebels of the Communist Party of Nepal-Maoists (CPN-M) planted a bomb in a bus headed for Dharan township. The device detonated as the bus was being stopped at a security checkpoint. One police officer, the bus driver and a passenger were killed.[1]",Communist Party of Nepal,Nepalese Civil War
12,January 16,2,6,"Akkoy, Turkey","Gunmen opened fire on a café in the Kavakbasi area of Akkoy, in Denizli Province. The gunmen killed two people and injured six others. Kurdish separatists were suspected behind the attack.[1]",PKK (suspected),Kurdish–Turkish conflict (1978–present)
13,January 17,1,2,"Hebron, West Bank","The armed wing of Hamas claimed responsibility for an attack in which two gunmen infiltrated Kiryat Arba, near Hebron, and killed a settler and wounded two others. The armed attackers knocked on the door and opened fire inside when it was answered. One of the attackers was killed at the scene and the other was tracked down and killed the following day by Israeli forces.[1]",Hamas,Second Intifada
14,January 24,4,36,"Samarra, Iraq","In Samarra, 100 km north of Baghdad, a bomb exploded outside the courthouse and council buildings, killing four Iraqis and wounding thirty-six people, including three US soldiers. US officials said it was an attempt to derail council elections scheduled for that day.[1]",Islamist insurgents,Iraq War
15,January 26,2,3,"Al-A'amiriya, Iraq",Two policemen were killed when assailants opened fire from a car at a checkpoint outside of Amiriyah (45 miles) southwest of Baghdad. The attack also wounded a policeman and two civilians.[1],Islamist insurgents,Iraq War
16,January 27,2,11,"Kabul, Afghanistan",A suicide bomber detonates near an ISAF vehicle killing a Canadian soldier and an Afghan civilian and wounding three Canadian troops and eight civilians.[5],Taliban,War in Afghanistan
17,January 29,0,11,"Baqubah, Iraq","A roadside bomb exploded in Baqubah, wounding eleven Iraqis. The bomb was placed on a road near a sports stadium, exploding during morning rush hour.[1]",Islamist insurgents,Iraq War
18,January 29,11 (+1),50,"Jerusalem, Israel","Gaza Street bus bombing: A suicide bomber blew up a bus near the prime minister's residence, killing eleven bystanders and wounding at least fifty. Prime Minister Sharon was not home at the time of the bombing. The al-Aqsa Martyrs Brigades claimed responsibility for the attack. Hamas has also claimed responsibility for the bombing and denounced al-Aqsa. Hamas has also sent a picture of the suicide bomber to the media to verify their claim.[1]",Hamas,Second Intifada
19,January 30,1,4,"Kabul, Afghanistan","A suicide bomber pulls a taxi laden with explosives up to an ISAF vehicle near a military base in Kabul before detonating his cargo, killing a British soldier and wounding four others.[5]",Taliban,War in Afghanistan
20,January 31,9,45,"Mosul, Iraq","A car bomb outside of a police station in Mosul killed at least nine people, including policemen and civilians, and wounded forty-five.[1]",Islamist insurgents,Iraq War
21,February 1,117,221,"Erbil, Iraq",2004 Erbil bombings: 117 people were killed and 221 were injured when suicide bombers wearing explosives separately attacked the offices of both the Kurdistan Democratic Party and the Patriotic Union of Kurdistan. Among the dead in the near simultaneous attacks was the autonomous region's deputy prime minister Sami Abdul Rahman and Turkish businessman Resat Sevkat Akalin who was in Irbil in order to hold talks with Iraqi officials about the fair to be organized by Iraqi-American Businessmen's Association. Ansar al-Sunnah has claimed responsibility.[1],Ansar al-Sunnah,Iraq War
22,February 3,3,10,"Vladikavkaz, Russia","An explosion occurred near the Gamid bank and 100 meters from the market in Vladikavkaz, the capital of North Ossetia. The bomb was planted in a car in front of the bank. One Russian military vehicle was damaged in the incident. At least three cars were reportedly burning following the blast. Three people were killed. Ten people, including some Russian interior troops, were wounded. Several sources noted that given the deadly explosion in this market in 1999, suspicion was likely to fall on Chechen rebels. Investigators said that they believed the incident was terrorism and had identified three people suspected of involvement in the attack. Police had located the flat where the suspects supposedly lived and raided it, discovering a number of weapons and ammunition. On February 21, Interfax reported that the Russian Prosecutor General's Office has identified the prime suspect in the attack. His name is Vladimir Khodov and he is a Ukrainian by birth. Police were currently searching for him.[1]",Chechen Separatists,Second Chechen War
