,Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
0,January 2,Suicide bombing,0 (+1),3,"Kandahar, Afghanistan","A suicide bomber detonates explosives in a car near a U.S. military convoy in the southern city of Kandahar, killing himself and wounding a U.S. soldier and two passersby.[1]",Taliban,War in Afghanistan
1,January 5,Suicide bombing,10 (+1),50,"Tarinkot, Afghanistan",A suicide bomber attacks a crowded market in an Afghan town just a few hundred meters from where the U.S. ambassador was meeting with local leaders. Ten Afghans were killed and 50 wounded.[1],Taliban,War in Afghanistan
2,January 5,Suicide bombings,120+,120+,"Karbala and Ramadi, Iraq",5 January 2006 Iraq bombings: Suicide bombers targeting police and Shia civilians.,Al-Qaeda in Iraq,Iraq War
3,January 5,Bombings,0,0,"Sos del Rey Católico, Spain",Two small bombs exploded at a hotel in the village of Sos del Rey Católico causing only minor damage and no injuries. Authorities received a warning call from the Basque separatist group ETA prior to the explosions.[2],ETA,Basque conflict
4,January 7,Bombing,0,0,"Borau, Spain","A small bomb planted by ETA goes off in an electricity substation in the town of Borau, Huesca.[3]",ETA,Basque conflict
5,January 14,Suicide bombing,0 (+1),1,"Helmand Province, Afghanistan","A suicide car bombing targets a U.S.-Afghan military convoy traveling along a main road in the southern Helmand Province, wounding a U.S. soldier.[1]",Taliban,War in Afghanistan
6,January 15,Suicide bombing,3 (+1),13,"Kandahar, Afghanistan","A suicide car bomb strikes a Canadian military convoy in southern Afghanistan, killing two civilians and a Canadian diplomat and wounding 13 other people.[1]",Taliban,War in Afghanistan
7,January 16,Suicide bombings,26 (+2),34,"Kandahar Province, Afghanistan","Two suicide bombers kill 26 people in two separate attacks in the Kandahar Province, First, a suicide bomber hurls himself in front of an Afghan Army vehicle in the heart of the provincial capital, Kandahar, killing three Afghan soldiers and two civilians and wounding four soldiers and 10 civilians. Later the same day, at least 20 people are killed and 20 others injured when a suicide bomber on a  motorcycle explodes at a playground where hundreds of people were gathered for a festival in Spin Boldak, bordering Pakistan.[1]",Taliban,War in Afghanistan
8,January 22,Bombing,0,0,"Nanclares de la Oca, Spain","A bomb explodes in a party office owned by PSE-EE in the town of Nanclares de la Oca, causing damage only to the building.[4]",ETA,Basque conflict
9,January 26,Bombing,0,0,"Biscay, Spain","ETA detonated a 10 kg bomb beside the court of justice of Balmaseda and another 5 kg one in the premises of Correos postal service in Etxebarri, both in Biscay, causing material damages and no personal injuries.[4]",ETA,Basque conflict
10,January 26,"Looting, bombing",0,3,"Khesar, India",Suspected Naxal militants looted and bombed a police outpost in the small town of Khesar.[5],Communist Party of India (suspected),Naxalite–Maoist insurgency
11,January 29,Bombing,0,1,"Santutxu, Spain","A rucksack packed with explosives next to a job centre INEM in Santutxu, Bilbao went off. One policeman was injured.[4]",ETA,Basque conflict
12,February 1,Bombing,0,0,"Etxebarri, Spain","After a warning call from ETA, another bomb goes off in a postal office in the town of Etxebarri.[6]",ETA,Basque conflict
13,February 2,Shooting,5,1,"Jolo, Philippines","In a deliberate anti-Christian massacre Muslim extremists killed at least five people on a farm in Patikul, a small town on Sulu Island near Jolo (Mindanao). After asking the residents if they were Christian, Abu Sayyaf gunmen opened fire on 9-month old Melanie Patinga who was killed and a three-year-old boy who was seriously wounded. Also killed were Emma (16) and Pedro Casipong, Itting Pontilla (45) and Selma Patinga.[7]",Abu Sayyaf,Moro conflict
14,February 4,Firebombings,0,0,"Damascus, Syria","The Danish, and as a consequence of sharing the same building, the Chilean and Swedish embassies in Damascus, are firebombed by protestors denouncing the publication of what they considered sacrilegious cartoons depicting the Muhammad. The Norwegian embassy is also burned.[6]",Muslim mob,Jyllands-Posten Muhammad cartoons controversy
15,February 6,Shooting,1,1,"Zaragoza, Spain","GRAPO (First of October Anti-Fascist Resistance Group) shot dead Ana Isabel Herrero, owner of a temporary work agency, and injured another person in Zaragoza. This was the last attack of this organization.[6]",GRAPO,
16,February 14,Bombing,0,0,Spain,A car bomb exploded at a discothèque in northern Spain causing damage but no injuries because police had cleared the area after a traditional warning call in the name of  ETA.[6],ETA,Basque conflict
17,February 16,Bombing,0,0,"Trapagaran, Spain","A bomb exploded in an industrial area in the Basque town of Trapagaran, near the northern city of Bilbao after a warning call from ETA. No one was injured in the attack.[6]",ETA,Basque conflict
18,February 22,Bombing,0,0,"Bilbao, Spain",A bomb placed by ETA explodes in an industrial park near Bilbao. The bomb caused damage to many buildings.[6],ETA,Basque conflict
19,February 22,Bombing,0,0,"Samarra, Iraq","2006 al-Askari mosque bombing: Al-Qaeda militants destroyed much of the Al-Askari Mosque, one of Shi'a Islam's holiest sites, in a bombing, though no one was killed or injured. Hundreds of Sunni civilians were killed by angry Shias in retaliation for the bombing.",Al-Qaeda in Iraq,Iraq War
20,February 26,Bombing,0,2,"Vitoria, Spain",Two people are injured when a bomb exploded in a bank cash machine in Vitoria in the city of Vitoria. The attack was blamed on ETA by police.[6],ETA,Basque conflict
21,February 27,Bombing,0,1,"Mungia, Spain",A bomb exploded at a courthouse in town of Mungia. A passer-by spotted a suspicious package and called police. The bomb exploded before they were able to clear off the area and injured one policeman. ETA was blamed.[6],ETA,Basque conflict
22,February 28,Bombing,0,0,"Mutriku, Spain","A bomb exploded outside a labour ministry building in the town of Mutriku, near San Sebastian. No one was killed or injured after a warning call from ETA.[6]",ETA,Basque conflict
23,March 2,Suicide bombing,4 (+1),50+,"Karachi, Pakistan","2006 attack on U.S. consulate in Karachi: Bombing in Karachi kills four, including a U.S. diplomat.[8]",Islamist cell,
