,Date,Dead,Injured,Location and description
0,3 January,27,68,"Diyarbakır, Turkey. PKK militants were suspected by Turkish authorities to be behind a car bomb explosion.[1][2]"
1,7 January,≈19,≈50,"Baghdad, Iraq. Six bombings.[3]"
2,10 January,≈23,≈58,"Lahore, Pakistan. One suicide bomber blew himself up in a police crowd.[4]"
3,13 January,2,≈5,"Yangon, Myanmar. A bomb exploded in a public toilet in a railway station, injuring one woman. This was the third bombing incident in three days. One other took place on Friday, in a railway station toilet in Nay Pyi Taw, killing one woman. Another man died, and four people were injured, when a bomb exploded in Pyu, north of Rangoon.[5]"
4,14 January,11,≈55,"Karachi, Pakistan. A bomb exploded in Karachi during President Pervez Musharraf's visit.[6]"
5,14 January,≈6,≈6,"Kabul, Afghanistan. A suicide bomber kills six at the Kabul Serena Hotel.[7]"
6,15 January,3,≈22,"Beirut, Lebanon. A bomb targeting a US Embassy vehicle detonates, killing bystanders and injuring the occupants.[8][9]"
7,15 January,0,≈39,South Thailand. Suspected Islamist separatist bombed a market.[10]
8,16 January,30,65,"Buttala, Sri Lanka:  A civilian bus was bombed, and the fleeing passengers were gunned down and the feeing gunmen also attacked farmers, killing at least 30 people.[11][12] The Sri Lankan government claimed that the gunman belonged to LTTE."
9,16 January,9,6,"Khan Bani Saad, Iraq: A woman wearing a vest lined with explosives blew herself up near Shiite worshippers in turbulent Diyala province north of the capital Wednesday, killing nine of them.[13]"
10,18 January,0,8,"Sderot ;Western Negev, Israel.  In 72 hours, more than 120 Qassam rockets and 65 mortars were fired towards the Western Negev, an exceptionally high number. More than 8 Israelis are injured by the rocket attacks.[14]"
11,18 January,4,4,"Hadhramaut Governorate, Yemen.  Gunmen opened fire on a group of tourists, killing two Belgian women, their Yemeni driver and a Yemeni man believed to be a tourist guide.  Belgian tourist and a Yemeni were wounded in the incident.  Al-Qaida suspected.[15]"
12,20 January,0,0,"Athens, Greece.  A Chilean diplomatic car was destroyed by an IED. An organization calling itself ""Radical Solidarity"" claimed responsibility for the attack, saying it had been in support of Chile's indigenous population.[16]"
13,21 January,18,22,"Al-Hajaj, Iraq. Suicide bomber kills 18 in a funeral tent .[17]"
14,24 January,1,4,"Judea, Israel. Two Palestinians infiltrated a religious seminary and stabbed 3 students in the West Bank settlement of Kfar Etzion before being shot dead. The same day, Palestinian gunmen opened fire at Israelis outside the Shuafat refugee camp on the outskirts of Jerusalem, killing a border police officer and seriously wounding a female officer.[18]"
15,26 January,4,≈36,"Beirut, Lebanon. A powerful car bomb killed one of Lebanon's top terrorism investigators and three other people in eastern Beirut.[19]"
16,29 January,4,20,"Thenia, Algeria. Four people killed and 20 wounded in an attack by a suicide bomber on a police station at Thenia, 50 kilometres (31 mi) east of Algiers.[20]"
