,Date,Type,Dead,Injured,Location,Description,Perpetrator,State,Non-state
0,January 1,Suicide bombing,105,100+,"Lakki Marwat, Pakistan",A suicide car bomber drove his explosive-laden vehicle into a volleyball pitch as people gathered to watch a match.[1],Lone-wolf,,
1,January 2,Trespassing and threatening,0,1,"Aarhus, Denmark","In an incident said to be terror-related, a Somali man broke into Danish cartoonist Kurt Westergaard's home threatening to kill the man with an axe. Westergaard escaped harm when he entered a panic room and called for police, who shot the man. According to the Danish intelligence agency PET, the Somali man is affiliated with Al-Shabaab, a radical Islamic militia currently in Somalia.[2]",Al-Shabaab,,
2,January 6,Car bombing,6 (+1),14,"Makhachkala, Russia","A suicide car bomber attempted to ram his vehicle into a traffic police station as officers were gathering. However, his vehicle was rammed by another officer's car, and the bomb detonated prematurely, killing 6 people and the bomber.",,,
3,January 7,Shooting,11,11,"Nag Hammadi, Egypt",Muslim gunmen shot at a number of Coptic Christians leaving church after celebrating the midnight Christmas mass according to the Coptic calendar (see Nag Hammadi massacre),,,
4,January 7,Property takeover; hostage-taking,6,8,"Srinagar, India","Three people, including a policeman, were killed when Lashkar-e-Taiba members took in Lal Chowk. Two of the assailants and a bank official died in the ensuing siege by security forces.[3]",Lashkar-e-Taiba,,
5,January 8,Bombing,0,1,"Randalstown, Northern Ireland","A Police Service of Northern Ireland officer was wounded when a bomb exploded underneath his car in Randalstown, County Antrim.[4]",Real IRA,,
6,January 12,Car Bombing,2,3,"Diala, Iraq",At least 2 policemen killed and 2 were injured in car bombing attack.[5],,,
7,January 21,Bombing,0,1,"Zamboanga City, Philippines",Suspected Abu Sayyaf militants detonated a bomb near the house of a Basilan province mayor. One teenager was injured [6],Abu Sayyaf (suspected),,
8,February 1,"Raid, Kidnapping",74+,?,"Near Niangara, Democratic Republic of the Congo","LRA rebels raid a village near Niangara, kill at least 74 people, set houses on fire. In addition, civilians were abducted.[7]",,,
9,February 3,Suicide bombing,10,70,"Lower Dir, Pakistan",A suicide bomber attacked a Pakistani Frontier Corps convoy. The US embassy said its military personnel had been training Pakistan's Frontier Corps in counter-insurgency.[8],,,
10,February 10,Assassination,1,0,"Kfar Tapuach, West Bank",A Palestinian Authority police officer stabbed to death a Druze Arab IDF soldier while he was sitting in a jeep stopped at a traffic light at the Tapuah junction.[9],,,
11,February 13,Bombing,16,60,"Pune, India","A bomb exploded at the German Bakery in Pune, a famous and touristic eatery.[10]",,,
12,February 14,Possible bombing,0,4,"Bujanovac, Serbia","An ethnic Albanian policeman was injured by an explosion in Bujanovac, Serbia.[11][12]",,,
13,February 18,Suicide attack,1 (+1),13,"Austin, Texas, United States","Andrew Joseph Stack III crashes his plane into an IRS building in Austin, Texas killing himself and a person inside the building and injuring 13 others. The crash caused a serious fire and significant damage to the building.",,,
14,February 26,Suicide bombing; possible offensive fighting,17,32,"Kabul, Afghanistan","A suicide bomber detonated in an area including a shopping centre, guest house and hotel in the Afghan capital, with gunfire heard after at least two blasts.[13]",,,
15,March 1,Attempted assassination,0,1,"Kfar Hashiloah, Jerusalem","An Israeli security guard was lightly injured in his leg when gunshots were fired at a jeep in which he was travelling near Beit Yehonatan in Kfar Shiloah, a village in southeastern Jerusalem.[14]",,,
16,March 4,Bombing,17,35,"Baghdad, Iraq",Three attacks occurred in Baghdad. The first incident involved a mortar attack on a crowded market. Two suicide bombers then detonated in different areas of the city. It is known that polling stations were the target in both of these suicide attacks. These attacks come as voting occurs on the first day of voting in Iraq's parliamentary elections.[15],,,
17,March 5,Bombing,0,16,"Kigali, Rwanda",Two near-simultaneous grenade explosions at a car-washing yard and at a bus station injured 16 people. Hutu militia was blamed.[16],,,
18,March 8–12,Suicide bombing,72+,190+,"Lahore, Pakistan","Three suicide bombings occurred on two separate days, in which a car bomb  struck a Federal Investigation Agency's office, and the other two suicide bombers detonated simultaneously whilst targeting a passing military convoy within the eastern Pakistani city of Lahore, which is located in eastern Pakistan.[17]",,,
19,March 16,Offensive fighting,6,8,"Indian-administered Kashmir, India","Suspected militants conducted two attacks on markets in Indian-administered Kashmir. The first attack occurred in Srinagar, whereas the second assault however took place within the northern town of Sopore.[18][19]",,,
20,March 16,Defensive fighting/ assassination,1,0,"Dammarie-lès-Lys, France","Ten ETA members shot dead a French gendarme, Jean Serge Nerin, 53 years old, in Dammarie-lès-Lys, near Paris.  Spanish government confirmed the shooting took place after a patrol of the local police found several people robbing a garage of vehicles. One suspect was arrested on the spot and identified himself as a member of ETA. This is the first time that ETA, which had always targeted Spanish officials and policemen, kills a French national policeman.[20]",,,
21,March 18,Bombing,1,0,"Netiv Ha’asara area, Israel",A Thai greenhouse worker was killed when a Kassam rocket fired by Gaza militants exploded in the moshav where he was working. An al-Qaida-inspired small Islamist faction called Ansar al-Sunna claimed responsibility for the attack.[21],,,
22,March 24,Bombing,6,30,"Buenaventura, Colombia","A car bomb detonated in the centre of the Colombian pacific port of Buenaventura, near the mayor's office and the local public prosecutor's building. No group has claimed responsibility for this attack although left-wing FARC rebels are suspected.[22]",,,
23,March 26,Bombing/ defensive fighting,2,3,"Israel-Gaza border, Gaza Strip",Two Israelis were killed and three were wounded when a team of soldiers from Golani's Battalion entered Gaza after several men were seen placing explosive devices near the Israeli border fence. Then the soldiers were ambushed and attacked with mortar shells and gunfire from inside the Strip. Hamas and Islamic Jihad claimed responsibility for the attack.[23],,,
24,March 29,Suicide bombing,40,100+,"Moscow, Russia",Two female Shahidka suicide bombers detonated their explosive-belts on the Moscow Metro system at the peak of the morning rush hour.[24],,,
25,March 31,Suicide bombing,12,25,"Kizlyar, Russia",A suicide car bomber detonated outside the offices of the local interior ministry and the FSB intelligence agency. Another suicide bomber impersonating as a police officer then detonates 20 minutes later on the same street as a crowd gathered.[25],,,
26,March 31,Suicide bombing,6,15,"Khyber, Pakistan",Militants attacked a Pakistani Frontier Corps camp in the tribal region of Khyber in north-western Pakistan. It has been reported that dozens of militants assaulted the camp after a suicide car bomber blew a hole in one of its walls.[26][27],,,
27,April 4,Suicide car bombing,42,224,"Baghdad, Iraq","Three suicide car bombers hit in the centre of Iraq's capital city, Baghdad. One explosion reportedly occurred near to the Iranian embassy whereas the other two explosions were detonated in the west-central Mansour district within the city. The Islamic State of Iraq claimed responsibility for the attacks. It has also been reported that at least one of these blasts struck near to the offices of a pro-Iranian politician, Ahmed Chalabi.[28][29]",,,
28,April 5,Suicide bombing; car bombing,2 (+1),13,"Karabulak, Russia","A suicide bomber detonated near a police station, killing at least 2 officers and injuring several. Later, a car bomb allegedly detonated near the same station, injuring additional people.",,,
29,April 9,Suicide bombing,2,0,"Ingushetia, Russia","A female suicide bomber attacked police officers, killing the head of a district police department in the southern Russian republic of Ingushetia.[31]",,,
30,April 13,Bombing; kidnapping attempt,10,13,"Isabela, Philippines","Rebels from Abu Sayyaf were blamed for an attempted kidnapping in Isabela city in which 10 were killed and 13 injured, at least 3 of the dead were Marines and 5 were rebels. At least six people were killed in a first explosion near a sports field, while another explosion wounded 13 civilians near a Roman Catholic cathedral before a third bomb was detonated by soldiers. Lieutenant-General Ben Dolorfino said the attackers ""were Abu Sayyaf members wearing army and police uniforms. Based on our initial assessments, these people were out to kidnap somebody and the explosions were part of the diversion, but our troops quickly responded to foil their plan."" Major General, Juancho Sabban, head of the marines, said ""I think (the attack) is meant to create havoc.... Definitely it falls under terrorism.""[32][33][34]",,,
31,April 15,Bombing,9,170,"Yangon, Burma","Three explosions went off at a park in the former capital of Yangon, Myanmar's commercial hub. These explosions happened as revellers gathered for a New Year water festival. Most of the pavilions on the U Htaungbo Road are run by companies said to be close to the governing authorities. Previous explosions were also blamed on dissident or ethnic rebels.[35][36]",,,
32,April 17,Offensive fighting/ assassination,2,0,"Samsun, Turkey","Unidentified gunmen targeted a patrol car in the Ladik district of Samsun. Huseyin Koc was killed instantly in the crossfire, while his colleague, Malik Soysal, succumbed to injuries at a hospital.  The Governor of Samsun, Hasan Basri Guzeloglu, said initial findings indicate the attack was a ""terrorist ambush."" Adding that an operation had been launched by security forces to find the perpetrators.[37]",,,
33,April 19,Suicide bombing,25+,30+,"Peshawar, Pakistan","A suicide bomber detonated his explosives at a marketplace during a public protest in the Pakistani city of Peshawar, which is located in north-western Pakistan.[38]",,,
34,April 21,Shooting,4,Unknown,"Arroyito, Paraguay",The aftermath of a shootout between EPP members and security forces in Arroyito leaves one policeman and three private guards dead.[39],,,
35,April 23,Bombing,85,145+,"Anbar, Baghdad, Iraq",A wave of bomb attacks occurred across the Iraqi capital of Baghdad. Most of these attacks were near Shia mosques during prayers; it was affirmed that one bomb went off near the offices of a prominent Shia cleric. Another attack outside the capital involved a series of co-ordinated bombs being detonated in Khaldiya in Anbar province. Reports claimed the attacks were retaliation for the killings of three senior Al-Qaeda leaders by Iraqi security forces.[40],,,
36,April 26,Suicide bombing; assassination attempt,0,2,"Sana'a, Yemen","A suicide bomber disguised as a schoolboy attempted to kill the British ambassador to Yemen, Tim Torlot, when he threw himself into the path of the convoy Tim was travelling in.[41]",,,
37,April 29,Suicide bombing,3 (+1),16,"Makhachkala, Russia","A suicide bomber set off a car bomb at a police checkpoint after being stopped, killing 3 officers.[42]",,,
38,May 1,Bombing,1,30,"Nalchik, Kabardino-Balkaria, Russia",A bomb exploded in the VIP lodge of a hippodrome during horse races within the city of Nalchik.[43],,,
39,May 1,Attempted bombing,0,0,"New York City, United States","2010 Times Square car bombing attempt: A car bomb was placed at Time Square but failed to detonate. Several days later, a Pakistani-American male was arrested in connection with the bombing attempt. He also had ties with the Taliban.[44]",,,
40,May 8,Bombing,2,0,"Hakkari Province, Sirnak Province, Turkey","Two separate bomb explosions killed two Turkish soldiers, whilst they were on patrol in the border districts of both the Hakkari and Sirnak provinces within the country.[45]",,,
41,May 9,Suicide car bombing,0,4,"Dagestan, North Caucasus, Russia","Two suicide bombers in a car attempted to target a military base in the city of Dagestan, but detonated when they were stopped by a policeman 100 meters away from the base.[46]",,,
42,May 14,Bombing,0,1,"Thessaloniki, Greece",A bomb exploded inside court house in Thessaloniki. One person was injured in the blast and there was some damage to the building.[47],,,
43,May 14,Offensive fighting,1,2,"Hyderabad, India","Two man on a motorcycle opened fire at a group of police in Hyderabad, India. One officer was killed and two others wounded in the shooting.[48]",,,
44,May 18,Bombing,0,0,"Ottawa, Canada","On Tuesday night at 0330, in Ottawa, Ontario, Canada, a group of Anarchists firebombed a Royal Bank and placed the video online. The fire caused at least $300,000 in damages but no casualties. The Fighting For Freedom Coalition claimed responsibility.[49]",,,
